,Wlambda3.unity,C1SP2,C2SP2,C2SP3,Kier2,MDEC-33,MOMI-XZ,WTPT-5,VR2_A,ATS7i,AATS8dv,AATS3v,AATS8v,ATSC6dv,ATSC2d,ATSC3d,ATSC4d,ATSC8d,ATSC2s,ATSC3s,ATSC5s,ATSC6pe,ATSC3p,ATSC2i,ATSC8i,AATSC6m,AATSC7m,AATSC8m,AATSC6v,nBondsD,SssCH2,SsF,PEOE_VSA2,PEOE_VSA7,SlogP_VSA1,SlogP_VSA3,SlogP_VSA5,EState_VSA4,EState_VSA8,EState_VSA9,VSA_EState2,VSA_EState3,VSA_EState4,SLogP,nBondsD2,nHCsats,nssCH2,SHBint2,SHBint4,SHBint7,SHCsatu,LipoaffinityIndex,nHBAcc_Lipinski,SRW9,TDB8v,TDB9v,TDB2i,TDB4i,TDB7i,TDB10s,RDF80m,RDF30i,RDF30s,RDF45s,RDF55s,RDF80s,pIC50
14,19.7544071,5,5,4,10.85782272,5.345015106,9.12425903,15.55739242,8.118721179959959,20360.274319870714,4.053191489361701,181.41420541796813,153.82456449387413,-23.62559999999999,-8.196799999999996,-8.121599999999995,-10.347199999999997,-0.5376000000000005,7.9700888888888874,16.09023333333333,10.464033333333328,-2.537155039999999,-0.631852804663214,-31.987619298593398,10.84634844240235,-4.967038868704115,7.124390186075144,2.7694843482345832,-5.2937235948946135,1,3.2111711013253217,40.102970731762255,9.778515705019029,24.471461806010627,10.633577208012664,11.21535880699783,18.40509473754901,24.849807875135227,14.867866772744891,5.733667477162185,24.697056959189915,0.0,5.930637374399066,1.8927,1.0,8.0,7.0,0.0,6.097657199205263,6.437834358472744,0.7122939499874024,8.119979349215496,6,5.093750200806762,1174.656144038617,1417.9084243155044,358.03969687769774,645.7707988248729,1119.5941647714787,34.14561516865687,8.390882381676727,23.386392308088283,22.64893576269569,27.57509247510325,37.70902005966,41.101548254549535,6.374
87,13.95677098,4,10,5,15.6995372,9.37652834,2.5989054069999997,12.05287882,38.44403494256563,22349.326270975987,4.710144927536232,182.861205088107,165.91904597445998,-113.4375,-6.54248046875,-6.584716796875,-9.56494140625,6.01025390625,9.716484917534718,-9.524163140190968,20.54747178819445,-4.8929313232421885,0.3926728036645568,-46.94299162105307,24.622793903942316,-2.4708706900065915,-4.9211955633716675,2.70209009050542,2.0892725397377347,4,-0.06950002038719139,40.41998081651272,9.589074368143644,42.67056301139546,15.787319034968565,32.086052534854105,30.89228342893664,10.572364015651528,10.418196129746054,15.207393384762284,36.775856975823864,7.7158567887094405,6.531219936498929,2.2088,4.0,7.0,6.0,5.254240844838385,6.241702633055652,15.446349798643016,3.3962756756548305,7.946643873447907,9,6.6052979209482015,1207.1464083051262,1331.1972106073526,349.3186172628638,644.1465103774649,1059.5117679162092,36.13028206041294,23.267783271813865,39.57635768737729,50.70272793570317,78.88132132293262,62.108157650016544,70.43455126223745,5.678
35,9.861371951,1,5,8,9.467455621000001,6.49816553,2.775022711,5.959726534,6.521895720044579,21950.366094954366,2.896551724137931,157.99926422873102,135.47874265279856,6.007304882737409,-9.671280276816603,-5.730103806228371,-3.2145328719723185,0.5501730103806215,10.211948395916108,24.24172326882824,9.504400017087436,-0.6853555555555565,-2.43426499377454,-40.763175209162505,5.557301226913333,-0.3453215492713256,0.3430996587708331,5.239545660014863,-1.5193393179488803,1,6.263282107726848,39.99494665365768,4.794537184071822,49.65183272095005,5.733667477162185,15.95222176079788,37.667559606327046,25.51489227882655,0.0,10.470530430962237,14.32032984798858,0.0,5.9446379920451,2.781400000000001,1.0,12.0,9.0,0.0,5.9779368504527595,7.806996686199317,0.6906101190476189,8.297591078864782,4,7.557472901614746,966.4848199601176,1134.0508049245004,348.7539059377176,648.9051354035487,1089.6146670684486,27.138213990659104,12.986953773663787,37.838556457213706,29.343762582346002,46.07468838659714,47.00796214569771,46.53204410516899,8.0
20,22.47305898,4,8,4,12.80799667,7.801106206,8.344220094,12.47383093,6.488274873591224,23984.067652485905,4.129310344827586,190.85449595342388,163.5478414216576,10.674744897959194,-11.105548469387763,-10.288584183673477,-8.617346938775508,-5.789540816326528,32.12213895975058,23.01933638038549,-30.19504676870748,-2.2147836734693884,-2.0820906132667942,-28.771365593520695,9.645877335814763,-2.992350735484143,7.898662656897542,2.103318162250247,-4.027293096866559,3,1.5842516246634006,40.26905484373195,9.589074368143644,36.60419594293385,5.733667477162185,11.21535880699783,39.251548592238116,6.06636706846161,4.9839785209472085,10.84019487200289,43.11016312081535,8.90851755679425,5.921567130437355,1.8317000000000003,3.0,8.0,7.0,7.686064165766133,6.139511373224077,16.372974936650873,0.7385494467622757,7.014677069360802,8,5.093750200806762,1225.522865874083,1433.9074295588211,353.98929735261817,645.7553129855862,1093.0177315947285,37.75762649371483,6.399831143407991,30.45310403894977,26.535635742895774,34.227548955648395,48.694906636677025,28.065456129854603,6.824
114,15.74926863,2,10,5,11.8067602,7.730157802999999,3.2442764680000002,8.61055779,22.89717195357868,27406.546358194257,3.4883401920438954,196.1457579325968,163.7583514618135,-39.24510836605064,-13.541223786268313,-7.530881930479746,-2.76213731686297,5.891985061763859,39.4924472415216,-27.175430807215662,20.725812553272725,-1.7355228669922556,-3.6744531902259983,-32.482497405363,19.81232160675989,0.74644251983348,-3.896402278861267,0.8725974652842503,-1.137248818136766,3,-0.14379716441900725,40.67772346343296,9.778515705019029,48.08555348079224,11.050456081168516,26.59153719579868,30.389367852172022,22.070417245556907,10.30076712495354,5.733667477162185,18.025888102269608,2.9873308505500966,8.374189383049668,3.707600000000003,3.0,7.0,6.0,2.8770972357066533,7.925463382336322,8.506602945163403,0.7474991630740089,7.98989340397953,6,6.293419278846482,1275.281781568702,1439.4782467918537,346.25589632324034,649.0936107323517,1082.215852819735,37.11761624269572,23.123477046617023,34.635913938995316,30.859097037086702,43.91435897741065,56.31361399466897,53.50087138640399,8.108
128,23.56036059,3,11,5,11.58847737,5.671620017,4.559566488,8.773481977000001,27.41457032541947,23412.42188111374,2.9810126582278484,190.20583939804482,165.13118851662776,-3.1899518018449555,-12.236426314277502,-4.262568227520828,-0.07095662166044236,2.1312841137604126,40.80251627589161,-57.95330641176147,-17.75401114377913,0.17472125825911994,-2.057484646415696,-43.049618822693965,2.154235390253559,2.153270670982208,1.694037549808879,-0.6686675717331771,-0.8979043453428038,3,0.4092298907930512,27.22527149526395,4.794537184071822,55.15775170278307,11.050456081168516,26.59153719579868,29.83354005732779,5.563451491696997,10.30076712495354,5.733667477162185,17.622858928172327,5.406614150289746,6.971053074329902,3.568500000000003,3.0,7.0,6.0,2.848088212364181,7.494707036221283,2.3863032719850423,0.7047705778885884,7.261408845640468,6,6.6293632534374485,1306.6278927077722,1521.4221871635516,344.3529249524372,654.0808035750728,1078.094281110257,37.53906574567347,9.131418294520943,30.719797336249183,27.85533201624243,48.021084994011744,39.61080601724645,18.00330144681051,7.0
3,22.63150288,2,10,4,11.82314494,8.185671017,6.916203438999999,9.42619511,19.054205199870704,24921.43152931391,3.8809523809523814,191.66442743615613,158.7492154309123,6.862419205909497,-8.487534626038778,-11.650969529085872,-8.42936288088643,-4.22437673130194,8.717904654423577,15.167607126979231,0.49204028589992405,-0.5334057248384181,-2.4165642752660497,-16.65757971719614,10.810936113216476,-2.301277841828432,4.1238139246506735,-1.6239357645015566,-4.8837972282905255,2,2.172834864470499,40.35024913490353,9.589074368143644,42.67056301139546,15.207393384762284,11.21535880699783,28.76308341331783,6.06636706846161,0.0,15.207393384762284,28.92404776348083,0.0,6.3915066914144925,2.467200000000001,2.0,8.0,8.0,0.0,6.1248682063296,6.31419694665226,0.7337086334380707,7.8185420871820535,7,6.78332520060396,1220.6531166039124,1395.6954534575505,351.9206425189048,645.1730443352624,1087.614454780092,34.55005218145453,5.622409569643579,32.03963820765254,24.47502669909163,34.90867743941957,51.10656743431306,21.590736405420518,6.31
80,14.93208469,3,5,5,8.392733564,7.435960625,8.069423157000001,11.37827498,5.57829547959306,12423.112169116235,6.206896551724138,182.60129226281842,158.4779127983429,-61.9584487534626,-6.184903047091415,-5.7970914127423825,-9.495844875346263,9.314404432132967,14.174611418898122,-22.223280240073873,14.398314866112644,-3.680964819944597,-0.963203982249635,-44.184180594837024,24.02591340349211,-5.6803176003497535,1.8044364487228592,2.6726494785265094,-2.1556580785708803,3,-0.2071089953683749,39.548048318389746,9.589074368143644,18.050640183084614,11.46733495432437,16.00989599106965,18.40509473754901,5.008912523954532,5.101407525739723,11.46733495432437,23.260967317308303,4.694718040363783,10.776170565019354,0.4358000000000001,3.0,5.0,3.0,6.943935678180193,6.132633043162607,17.35577835908186,2.327997582048583,4.772379718154045,6,6.6052979209482015,1300.7184878863254,1747.7755530959928,355.6372299573716,667.8203616147676,1158.623940510869,72.58990014549991,5.242810756447584,15.440876008349875,23.001844499004427,33.22405101171246,36.17365580986924,20.0703638258234,5.252
82,25.04559404,4,9,5,13.5168,9.866724755,5.811165014,12.05107788,12.355278898266384,21287.325798274233,5.4561403508771935,193.699809616601,173.46028440192234,-61.08156355801788,-8.77777777777778,-10.888888888888893,-8.222222222222221,6.666666666666668,9.780847098252453,-2.560266406757637,11.880279402209224,-2.78994250538628,-3.444235642765156,-33.16357416224267,24.438363997744442,-2.1905189998634933,-0.8629039049415166,1.5349865555197388,-1.814494474759681,4,-0.12605613114499192,40.313995273980936,9.589074368143644,35.746825811704824,11.050456081168516,27.29151535078228,34.326534905014825,10.572364015651528,15.155059083546105,5.733667477162185,36.76608947631305,7.668833869132597,6.862640368905812,2.0535,4.0,5.0,4.0,5.271364567868763,6.235483363599961,22.172189465036734,2.4729206352629283,7.626567977236759,8,6.6052979209482015,1266.314092803224,1450.0928801591824,350.52660942015336,652.9992820727232,1096.5685888377127,41.19477199756099,9.835835887904244,22.56326525072523,18.403894381865946,32.36204578218874,43.996221955688505,38.364823017887346,5.523
119,14.53266847,4,5,5,9.212018141,2.9481593060000004,3.208655325,8.63849549,23.862315783521122,18441.08773968722,2.411764705882353,178.63317042264595,147.4007277793779,5.248831505391276,-9.891295293627657,-6.24073302790504,-6.177009579341941,5.764264889629321,36.27552798645283,-49.635616825465384,-21.237461000189114,-0.3209722199083733,-3.3910823506751844,-33.04172742285585,15.09362900159999,5.298401555863622,2.725000726322914,-3.17440620388708,-0.3048778054835278,3,0.8645741768419439,13.759849889965091,4.794537184071822,30.89228342893664,11.050456081168516,26.59153719579868,29.83354005732779,0.0,10.30076712495354,5.733667477162185,16.900655690893334,5.478737271143025,5.734394965771228,1.7624,3.0,7.0,6.0,2.9994618935387005,7.543813383099213,2.71839957903658,0.6772087060132695,4.481518462129882,6,6.326149473155099,1126.0454547389606,1445.021972455535,345.4695980085346,649.88298318947,1076.6475110502554,29.427384955118693,10.548377709693732,31.376620509430904,31.640487363705358,44.453062833340255,22.83301389063426,25.39380373924835,6.721
